K,nvtx,pileup_ratio
EU,51,0.000303899
EU,52,0.000247672
EU,53,0.000236803
EU,54,0.000258026
EU,55,0.000345092
EU,56,0.000494341
EU,57,0.000708128
EU,58,0.00104444
EU,59,0.00159927
EU,60,0.00231779
EU,61,0.00400894
EU,62,0.00530831
EU,63,0.00623822
EU,64,0.00688571
EU,65,0.00784455
EU,66,0.00797042
EU,67,0.00763388
EU,68,0.00674129
EU,69,0.00605947
EU,70,0.00519674
EU,71,0.00497399
EU,72,0.00460162
EU,73,0.00381017
EU,74,0.00343914
EU,75,0.00332295
ED,0,0
ED,1,0.428107
ED,2,1.29388
ED,3,1.22078
ED,4,1.02596
ED,5,1.1769
ED,6,1.24377
ED,7,0.921862
ED,8,0.814769
ED,9,1.20901
ED,10,1.51527
ED,11,1.68838
ED,12,1.73792
ED,13,1.70826
ED,14,1.70984
ED,15,1.71038
ED,16,1.65067
ED,17,1.56442
ED,18,1.48535
ED,19,1.40303
ED,20,1.33164
ED,21,1.28514
ED,22,1.24342
ED,23,1.20714
ED,24,1.16839
ED,25,1.12262
ED,26,1.06993
ED,27,0.999693
ED,28,0.900043
ED,29,0.778486
ED,30,0.644942
ED,31,0.497564
ED,32,0.37052
ED,33,0.259917
ED,34,0.174109
ED,35,0.111585
ED,36,0.0687061
ED,37,0.0404941
ED,38,0.0232033
ED,39,0.0129877
ED,40,0.00721863
ED,41,0.00388086
ED,42,0.00206418
ED,43,0.00109735
ED,44,0.000585006
ED,45,0.000321242
ED,46,0.000184087
ED,47,0.000114353
ED,48,8.57172e-5
ED,49,7.68135e-5
ED,50,8.09537e-5
ED,51,9.42381e-5
ED,52,0.000118387
ED,53,0.0001548
ED,54,0.000202628
ED,55,0.000294603
ED,56,0.000431519
ED,57,0.00061181
ED,58,0.000878668
ED,59,0.00129927
ED,60,0.0018102
ED,61,0.00300153
ED,62,0.00380243
ED,63,0.0042683
ED,64,0.00449375
ED,65,0.00487654
ED,66,0.00471355
ED,67,0.0042893
ED,68,0.00359432
ED,69,0.00306198
ED,70,0.00248572
ED,71,0.0022493
ED,72,0.00196487
ED,73,0.0015343
ED,74,0.00130443
ED,75,0.00118566
MU,0,0
MU,1,0.351377216124927
MU,2,0.717199649125846
MU,3,1.14121536968772
MU,4,0.84885826611733
MU,5,1.00700929402897
MU,6,1.03428595270903
MU,7,0.717444379696992
MU,8,0.344078389355127
MU,9,0.499570875027422
MU,10,0.606614916257104
MU,11,0.632584599390169
MU,12,0.731450949466174
MU,13,0.827511723989754
MU,14,0.910682115553867
MU,15,0.960170981598162
MU,16,0.988896170761361
MU,17,1.02468865580207
MU,18,1.05296667126403
MU,19,1.05112033565679
MU,20,1.0269129153969
MU,21,1.00548641752714
MU,22,0.998316130432865
MU,23,1.01492587998551
MU,24,1.03753749807849
MU,25,1.05742218946485
MU,26,1.08503978097083
